Id,Regra,Severidade,Categoria,,,,
65083226,no-unused-vars,2,a,,,,
65083226,no-unused-vars,2,,,,,
65084322,no-unused-vars,2,,,,,
65084322,no-undef,2,,,,,
65084475,no-unused-vars,2,,,,,
65084674,no-unused-vars,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085677,no-undef,2,,,,,
65085750,no-unused-vars,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65085750,no-undef,2,,,,,
65086343,no-unused-vars,2,,,,,
65086343,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-constant-condition,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-unused-vars,2,,,,,
65087341,no-undef,2,,,,,
65087341,no-redeclare,2,,,,,
65087602,no-unused-vars,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65087602,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-unused-vars,2,,,,,
65121459,no-unused-vars,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
65121459,no-undef,2,,,,,
