Id,body,Score
65093963,"<p>Maybe you need just to remove all quotes and single quotes? For this reason, You don't need to iterate through Object.</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>let incomeJson = { ""USD"":1,""AED"":3.6721,""ARS"":81.0455,""AUD"":1.3564,""BGN"":1.6324 };

console.log( JSON.stringify(incomeJson).replace(/[""']/g, """"));</code></pre>
</div>
</div>
</p>
",7
65087060,"<p>This issue occured in d3 v5. So, I solved it using d3 v4.</p>
",-2
65106591,"<p>You could use a recursive function to collect all the values. Then use <code>reduce</code> to create a nested object from the values:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const initObject = { 
  value: 5,
  next: {
   value: 10,
   next: {
     value: 15,
     next: null
   }
  }
}

const getValues = ({ value, next }) =&gt;
  next 
    ? [value, ...getValues(next)] 
    : [value]

const createObject = values =&gt; 
  values.reduce((next, value) =&gt; ({ value, next }), null)

const output = createObject(getValues(initObject))

console.log(output)</code></pre>
</div>
</div>
</p>
",8
65124087,"<p>You should do your Firebase staff inside a lifecyle method.As your working with functionnal components you can use the <code>useEffect hook</code>:</p>
<pre><code>import React from &quot;react&quot;;
import fire from &quot;./firebase&quot;;
import firebase from &quot;firebase&quot;
import { useState } from &quot;react&quot;

    
const UserPage = ({ match }) =&gt; {
    const [user, setUser] = useState(null)
    const { params: { userId } } = match;

    useEffect(()=&gt;{
        //Put your Firebase staff here
     },[])
    
    return(
        &lt;&gt;
        &lt;h1&gt;Hey {user}&lt;/h1&gt;
        &lt;/&gt;
    )
    }
   
export default UserPage
</code></pre>
<p>I dont know what you're trying to achieve, but inside you <code>&lt;h1&gt;{user}&lt;/h1&gt;</code> i think that <code>{user}</code> is an <code>object</code> so if you want to access a specific attribute you can do something like <code>&lt;h1&gt;{user.attributeName}&lt;/h1&gt;</code>.</p>
<p>I hope that it helped</p>
",6
65149827,"<p><code>for..in</code> iterates over all enumerable properties anywhere in the prototype chain. For an HTMLCollection, this results in, <em>in addition</em> to numeric properties:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>for (const i in document.getElementsByClassName('catalogItem')) {
  console.log(i);
}</code></pre>
</div>
</div>
</p>
<p><code>length</code>, <code>item</code>, <code>namedItem</code> - the values on each of those properties are not elements (so calling <code>addEventListener</code> on them fails).</p>
<p>Use <code>for..of</code> instead, to invoke the HTMLCollection's iterator, which gives you <em>only</em> the elements:</p>
<pre><code>for (const button of catButtons) {
  button.addEventListener('click', () =&gt; {
    // ...
  });
}
</code></pre>
<p>Since you're adding listeners in a loop, make sure to declare the iteration variable (<code>i</code> or <code>button</code>) - with <code>const</code>; using <code>for(i</code> results in there only being one global binding for <code>i</code>, which will result in problems if you find you want to examine the variable inside the listener. (See the <a href=""https://stackoverflow.com/questions/750486/javascript-closure-inside-loops-simple-practical-example"">closure inside loops</a> question)</p>
",7
65132253,"<p>Create the <code>m</code> subarray inside the loop (so you have a separate subarray for each iteration), not outside of it - outside, you've only created a single array in memory that each index points to.</p>
<pre><code>let s = [];
for (let j = 0; j &lt; 9999; j++)
{
  let m = [[22,0],[53,0],[64,0],[45,0],[34,0]];
  let l = m.length;
  for(let i = 0; i &lt; m.length; i++)
  {
    let x = Math.floor(Math.random()*l);
    m[i][1] = x; 
  }
  s.push(m);
}
</code></pre>
<p>Or, more functionally and all at once with <code>Array.from</code>:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const s = Array.from(
  { length: 2 },
  () =&gt; [[22,0],[53,0],[64,0],[45,0],[34,0]]
          .map(([num]) =&gt; [num, Math.floor(Math.random() * 5)])
);
console.log(s);</code></pre>
</div>
</div>
</p>
",6
65115136,"<p>You're partially right. <code>add</code> takes no arguments.  If you supply any, they will be ignored.</p>
<p>But when you call <code>add</code>, you get back the function</p>
<pre class=""lang-js prettyprint-override""><code>num =&gt; {
    const result = num + 10;
    return `Calculated! ${result}`;
}
</code></pre>
<p>which might be easier to recognize as a function if you wrapped its single argument in parentheses:</p>
<pre class=""lang-js prettyprint-override""><code>(num) =&gt; {
    const result = num + 10;
    return `Calculated! ${result}`;
}
</code></pre>
<p>This new function takes (presumably) a number, adds 10 to it, and returns a formatted string including that result.</p>
<p>So this:</p>
<pre class=""lang-js prettyprint-override""><code>const addFn = add()
</code></pre>
<p>simply assigns the value of <code>addFn</code> as this function returned by <code>add ()</code>, namely the function we describe above.</p>
<p>When we call it with <code>5</code>, it returns that formatted string involving  the result of <code>10 + 5</code>.</p>
<p>Does that make it any clearer?</p>
",6
65118160,"<p>An <code>onClick</code> in React expects a function. in your code you passed in the return value of <code>this.randomPerson</code> which is not a function.</p>
<p>Try this:</p>
<pre><code>class App extends Component {
  state = {
    persons: [
      { name: 'test1', num: randomNum()},
      { name: 'test2', num: randomNum()}
    ]
  }

  randomPerson =() =&gt;{
    return Math.floor(Math.random()* this.state.persons.length)
  }

  render(){
    return (
      &lt;React.Fragment&gt;
        &lt;button onClick={this.randomPerson}&gt;Switch Person&lt;/button&gt;
        {/* ^-- I changed this and removed the num declaration */}
        &lt;div&gt;
          &lt;Person name={this.state.persons[num].name} randomNum={this.state.persons[num].num} /&gt;
        &lt;/div&gt;
      &lt;/React.Fragment&gt;
    
    );
  }
}

export default App;
</code></pre>
<p>But I'm unsure what you're trying to do with the generated new random number from <code>randomPerson</code>. I assume you might want to use that number to select a random user. For that you will have to add the generated random number from <code>randomPerson</code> into state. Unfortunately I've completely forgotten how to do this in class components... So I did that for you with a functional component below:</p>
<pre><code>function App() {
    const randomPerson = () =&gt; Math.floor(Math.random() * this.state.persons.length);

    const [person, setPerson] = useState([
        { name: 'test1', num: randomNum()},
        { name: 'test2', num: randomNum()}
    ]);
    const [currentPerson, setCurrentPerson] = useState(randomPerson());

    const switchPerson = () =&gt; {
        setCurrentPerson(randomPerson());
    };

    return (
        &lt;React.Fragment&gt;
            &lt;button onClick={switchPerson}&gt;Switch Person&lt;/button&gt;
            &lt;div&gt;
                &lt;Person name={person[currentPerson].name} randomNum={person[currentPerson].num} /&gt;
            &lt;/div&gt;
        &lt;/React.Fragment&gt;
    );
}
</code></pre>
",0
65085679,"<p>It seems you're trying to send params station_id into function refreshMETAR as params to send a request when the button clicked.
there're 2 problems in your code.</p>
<ol>
<li><code>&lt;button onclick=&quot;refreshMETAR(this.innerHTML)&quot;&gt;${station_id}&lt;/button&gt;</code>
i think this in above statement will be reference to window, not button element nor stationIdCell element.</li>
<li><code>const refreshMETAR = () =&gt; { const stationElement = this.innerHTML //The value of the table cell should be read here</code>  you send (this.innerHtml) as in params ,yet this is not the way to use a in param</li>
</ol>
<p>please try this:</p>
<pre><code>stationIdCell.innerHTML = `&lt;button onclick=&quot;refreshMETAR('${stationId}')&quot;&gt;${station_id}&lt;/button&gt;`

const refreshMETAR = (stationId) =&gt; {
    const station = stationId
    console.log(`entered: ${station}`)
</code></pre>
",0
65099888,"<p>It is not currently possible to transfer a <code>BluetoothDevice</code> or any of the other associated objects to a new page during a navigation (which is what happens when you call <code>location.replace()</code>). If possible you should keep the user on the same page for the entire time that it is connected to a device.</p>
<p>There is upcoming work on <a href=""https://crbug.com/974879"" rel=""nofollow noreferrer"">Chromium issue 974879</a> which will make it possible to keep the permission the user granted your site to connect to the device across navigations and sessions but you will still have to reconnect on each page.</p>
",0
